Alle Ereignislogmeldungen.
Datum:	2015-05-19 11:07:03
Systemname:	140-102896-2
Name der Steuerung:	192.168.1.2
Steuerungs-ID	140-102896

RobotWare:	5.61.2008
Key:	Pq4444ku65W-4444456a4iW4x#NdR58YwKVvA
Optionen:	
	RW Control module key
	RobotWare OS and English
	644-2 German
	709-x DeviceNet
		709-1 DeviceNet m/s
		840-2 PROFIBUS Fieldbus Adapter
		608-1 World Zones
		611-1 Path Recovery
		616-1 PC Interface
		617-1 FlexPendant Interface
		623-1 Multitasking

DriveModule1
Key:	jw2gFKxwee5
Optionen:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 140
			140T-6/0.8
			Drive System 09 120/140/1400/260
				No additional drive



Allgemeine Logmeldungen
SeqNr     	Typ 	Kategorie           	Fehlernummer	Bezeichnung                             	Datum               	Beschreibung	Argumente
7053      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-13 11:38:02 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7054      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-13 11:38:07 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7055      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-13 11:38:07 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7056      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-13 11:38:09 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7057      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-13 11:38:09 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7058      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-13 11:38:09 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7059      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-13 11:39:19 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7060      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-13 11:39:19 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7061      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-13 11:41:02 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7062      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-13 11:41:17 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7063      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-13 11:41:18 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7064      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-13 11:41:31 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7065      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-13 11:41:31 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7066      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-13 11:41:31 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7067      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-13 11:42:49 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7068      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-13 11:42:59 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7069      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-13 11:48:59 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7070      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-13 11:48:59 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7071      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-13 11:49:10 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7072      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-13 11:58:08 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7073      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-13 11:58:26 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7074      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-13 11:58:27 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7075      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-13 11:58:35 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7076      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-13 11:58:35 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7077      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-13 11:58:35 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7078      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-13 11:59:27 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7079      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-13 12:01:18 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7080      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-13 12:01:20 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7081      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-13 12:01:20 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7082      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-13 12:01:20 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7083      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-13 12:03:33 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7084      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-13 12:03:48 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7085      	I   	Betriebszustand     	10230   	Backup-Schritt fertig                   	2015-05-13 13:39:09 	Der Backup-Schritt 'Vorbereitung' ist fertig.	{args: "0"}
7086      	I   	Betriebszustand     	10231   	Backup-Schritt fertig                   	2015-05-13 13:39:09 	Der Backup-Schritt 'Konfiguration' ist fertig.	{args: "1"}
7087      	I   	Betriebszustand     	10232   	Backup-Schritt fertig                   	2015-05-13 13:39:10 	Backup der Task ist fertig.	{args: "2"}
7088      	I   	Betriebszustand     	10045   	System neu gestartet                    	2015-05-18 09:04:26 	Ein bereits installiertes System wurde neu gestartet.	{args: }
7089      	W   	E/A und Kommunikation	71405   	Doppelte E/A-Einheitenzuordnung         	2015-05-18 09:04:30 	Das E/A-Signal <diSignal16> besitzt dieselbe Einheitenzuordnung wie das E/A-Signal <diSignal6>. 	{args: "diSignal16", "diSignal6"}
7090      	I   	Betriebszustand     	10013   	Not-Aus-Status                          	2015-05-18 09:04:52 	Das System befindet sich im Not-Aus-Status, da der MOTOREN-EIN-Kreis von einer Not-Aus-Vorrichtung geöffnet wurde. 	{args: }
7091      	I   	Betriebszustand     	10015   	Einrichtbetrieb gewählt                 	2015-05-18 09:04:52 	Das System befindet sich im Einrichtbetrieb.	{args: }
7092      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 09:04:52 	Der Programmzeiger von Task PvCom wurde zurückgesetzt.	{args: "2", "0", "PvCom"}
7093      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 09:04:52 	Der Programmzeiger von Task EntryControl wurde zurückgesetzt.	{args: "3", "0", "EntryControl"}
7094      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 09:04:52 	Der Programmzeiger von Task EntryControlLamp wurde zurückgesetzt.	{args: "4", "0", "EntryControlLamp"}
7095      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 09:04:52 	Der Programmzeiger von Task MachineSignals wurde zurückgesetzt.	{args: "5", "0", "MachineSignals"}
7096      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 09:04:52 	Der Programmzeiger von Task AF wurde zurückgesetzt.	{args: "6", "0", "AF"}
7097      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:03:55 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7098      	I   	Betriebszustand     	10250   	Restore-Schritt fertig                  	2015-05-18 10:31:41 	Der Restore-Schritt 'Vorbereitung' ist fertig.	{args: "0"}
7099      	I   	Betriebszustand     	10251   	Restore-Schritt fertig                  	2015-05-18 10:31:43 	Der Restore-Schritt 'Konfiguration' ist fertig.	{args: "1"}
7100      	I   	Betriebszustand     	10252   	Restore-Schritt fertig                  	2015-05-18 10:31:43 	Restore der Task ist fertig.	{args: "2"}
7101      	I   	Betriebszustand     	10045   	System neu gestartet                    	2015-05-18 10:32:08 	Ein bereits installiertes System wurde neu gestartet.	{args: }
7102      	W   	E/A und Kommunikation	71405   	Doppelte E/A-Einheitenzuordnung         	2015-05-18 10:32:12 	Das E/A-Signal <diSignal16> besitzt dieselbe Einheitenzuordnung wie das E/A-Signal <diSignal6>. 	{args: "diSignal16", "diSignal6"}
7103      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:32:34 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7104      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:32:34 	Der Programmzeiger von Task PvCom wurde zurückgesetzt.	{args: "2", "0", "PvCom"}
7105      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:32:34 	Der Programmzeiger von Task EntryControl wurde zurückgesetzt.	{args: "3", "0", "EntryControl"}
7106      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:32:34 	Der Programmzeiger von Task EntryControlLamp wurde zurückgesetzt.	{args: "4", "0", "EntryControlLamp"}
7107      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:32:34 	Der Programmzeiger von Task MachineSignals wurde zurückgesetzt.	{args: "5", "0", "MachineSignals"}
7108      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:32:34 	Der Programmzeiger von Task AF wurde zurückgesetzt.	{args: "6", "0", "AF"}
7109      	I   	Betriebszustand     	10253   	Restore-Schritt fertig                  	2015-05-18 10:32:43 	Restore der Anwender-Task ist fertig.	{args: "3"}
7110      	I   	Betriebszustand     	10013   	Not-Aus-Status                          	2015-05-18 10:32:43 	Das System befindet sich im Not-Aus-Status, da der MOTOREN-EIN-Kreis von einer Not-Aus-Vorrichtung geöffnet wurde. 	{args: }
7111      	I   	Betriebszustand     	10015   	Einrichtbetrieb gewählt                 	2015-05-18 10:32:43 	Das System befindet sich im Einrichtbetrieb.	{args: }
7112      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-18 10:39:08 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7113      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-18 10:39:24 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7114      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-18 10:39:25 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7115      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:39:54 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7116      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:39:54 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7117      	I   	Betriebszustand     	10150   	Programm gestartet                      	2015-05-18 10:39:54 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Kein Urheber gefunden.	{args: "1", "T_ROB1"}
7118      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-18 10:40:34 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7119      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:41:09 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7120      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:41:09 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7121      	I   	Betriebszustand     	10156   	Programm neu gestartet                  	2015-05-18 10:41:09 	Abarbeitung der Task T_ROB1 wurde an der Stelle neu gestartet, an der sie zuvor gestoppt wurde. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7122      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-18 10:41:12 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7123      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:41:29 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7124      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:41:29 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7125      	I   	Betriebszustand     	10156   	Programm neu gestartet                  	2015-05-18 10:41:29 	Abarbeitung der Task T_ROB1 wurde an der Stelle neu gestartet, an der sie zuvor gestoppt wurde. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7126      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-18 10:41:30 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7127      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:41:48 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7128      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:41:48 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7129      	I   	Betriebszustand     	10156   	Programm neu gestartet                  	2015-05-18 10:41:48 	Abarbeitung der Task T_ROB1 wurde an der Stelle neu gestartet, an der sie zuvor gestoppt wurde. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7130      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-18 10:43:07 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7131      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-18 10:43:07 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7132      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-18 10:43:31 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7133      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-18 10:43:32 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7134      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:43:49 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7135      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:43:50 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7136      	I   	Betriebszustand     	10156   	Programm neu gestartet                  	2015-05-18 10:43:50 	Abarbeitung der Task T_ROB1 wurde an der Stelle neu gestartet, an der sie zuvor gestoppt wurde. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7137      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-18 10:44:00 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7138      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:44:02 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7139      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:44:02 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7140      	I   	Betriebszustand     	10156   	Programm neu gestartet                  	2015-05-18 10:44:02 	Abarbeitung der Task T_ROB1 wurde an der Stelle neu gestartet, an der sie zuvor gestoppt wurde. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7141      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-18 10:44:05 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7142      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-18 10:44:06 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7143      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:44:07 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7144      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-18 10:46:53 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7145      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-18 10:46:54 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7146      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:46:58 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7147      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:46:58 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7148      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-18 10:46:58 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7149      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-18 10:48:54 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7150      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-18 10:48:54 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7151      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:48:57 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7152      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-18 10:48:59 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7153      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-18 10:48:59 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7154      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:49:01 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7155      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:49:01 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7156      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-18 10:49:01 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7157      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-18 10:50:19 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7158      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-18 10:50:35 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7159      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:52:16 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7160      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-18 10:52:26 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7161      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-18 10:52:27 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7162      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:52:37 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7163      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:52:37 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7164      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-18 10:52:37 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7165      	I   	Betriebszustand     	10125   	Programm gestoppt                       	2015-05-18 10:53:46 	Die Task T_ROB1 wurde angehalten. Ursache: Ein externer oder interner Stopp.	{args: "1", "T_ROB1"}
7166      	I   	Betriebszustand     	10012   	Sicherheitsstopp-Zustand                	2015-05-18 10:54:05 	Das System ist im Sicherheitsstopp-Zustand. Es geht in diesen Zustand über, nachdem von Automatik auf Einrichtbetrieb umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis durch Not-Aus, allgemeinen, automatischen oder übergeordneten Sicherheitshalt geöffnet wurde.	{args: }
7167      	I   	Betriebszustand     	10002   	Programmzeiger wurde zurückgesetzt      	2015-05-18 10:54:29 	Der Programmzeiger von Task T_ROB1 wurde zurückgesetzt.	{args: "1", "0", "T_ROB1"}
7168      	I   	Betriebszustand     	10010   	MOTOREN-AUS-Zustand                     	2015-05-18 10:54:33 	Das System ist im MOTOREN-AUS-Zustand. Es geht in diesen Zustand über, nachdem von Einrichtbetrieb auf Automatik umgestellt wurde oder nachdem der MOTOREN-EIN-Kreis bei der Programmabarbeitung geöffnet wurde.	{args: }
7169      	I   	Betriebszustand     	10011   	MOTOREN-EIN-Zustand                     	2015-05-18 10:54:34 	Das System ist im MOTOREN-EIN-Zustand.	{args: }
7170      	W   	Betriebszustand     	10068   	Starten von Programm                    	2015-05-18 10:54:56 	Programm für Task T_ROB1 kann nicht gestartet werden. 	{args: "T_ROB1"}
7171      	I   	Betriebszustand     	10052   	Wiederanfahren gestartet                	2015-05-18 10:55:11 	Eine Wiederanfahrbewegung wurde gestartet.	{args: "0"}
7172      	I   	Betriebszustand     	10053   	Wiederanfahren fertig                   	2015-05-18 10:55:11 	Die Bewegung wurde wieder aufgenommen.	{args: "0"}
7173      	I   	Betriebszustand     	10151   	Programm gestartet.                     	2015-05-18 10:55:11 	Abarbeitung der Task T_ROB1 wurde mit der ersten Instruktion in der Einstiegsroutine der Task begonnen. Urheber ist ein externer Client.	{args: "1", "T_ROB1"}
7174      	W   	Programm            	40165   	Referenzfehler                          	2015-05-18 10:55:24 	Task T_ROB1: Verweis auf unbekanntes ganzes Datenobjekt tGripperSpacer_Blech.	{args: "T_ROB1", "tGripperSpacer_Blech"}
7175      	E   	Programm            	40165   	Referenzfehler                          	2015-05-18 10:55:24 	Task T_ROB1: Verweis auf unbekanntes ganzes Datenobjekt tGripperSpacer_Blech.	{args: "T_ROB1", "tGripperSpacer_Blech"}
7176      	E   	Programm            	40228   	Abarbeitungsfehler                      	2015-05-18 10:55:24 	Abarbeitung der Task T_ROB1 wurde wegen eines Laufzeitfehlers 40165 gestoppt. 	{args: "T_ROB1", "40165"}
7177      	I   	Betriebszustand     	10020   	Status Abarbeitungsfehler               	2015-05-18 10:55:24 	Die Programmabarbeitung in Task T_ROB1 wurde wegen eines plötzlichen Fehlers gestoppt.	{args: "1", "T_ROB1"}
